field,value
age_range,25-34
assignment_P01_assigned,without_tutor
assignment_P01_experimenter,E01
assignment_P01_notes,Actual exported condition is without_tutor/passive; suggested assignment was with_tutor.
assignment_P01_participant,P01
assignment_P01_suggested,with_tutor
assignment_P01_trial,T01
assignment_P02_assigned,n/a
assignment_P02_experimenter,n/a
assignment_P02_notes,not part of this exported P01/T01 trial
assignment_P02_participant,P02
assignment_P02_suggested,without_tutor
assignment_P02_trial,T01
assignment_P03_assigned,n/a
assignment_P03_experimenter,n/a
assignment_P03_notes,not part of this exported P01/T01 trial
assignment_P03_participant,P03
assignment_P03_suggested,without_tutor
assignment_P03_trial,T01
assignment_P04_assigned,n/a
assignment_P04_experimenter,n/a
assignment_P04_notes,not part of this exported P01/T01 trial
assignment_P04_participant,P04
assignment_P04_suggested,with_tutor
assignment_P04_trial,T01
assignment_P05_assigned,n/a
assignment_P05_experimenter,n/a
assignment_P05_notes,not part of this exported P01/T01 trial
assignment_P05_participant,P05
assignment_P05_suggested,with_tutor
assignment_P05_trial,T01
assignment_P06_assigned,n/a
assignment_P06_experimenter,n/a
assignment_P06_notes,not part of this exported P01/T01 trial
assignment_P06_participant,P06
assignment_P06_suggested,without_tutor
assignment_P06_trial,T01
assignment_P07_assigned,n/a
assignment_P07_experimenter,n/a
assignment_P07_notes,not part of this exported P01/T01 trial
assignment_P07_participant,P07
assignment_P07_suggested,without_tutor
assignment_P07_trial,T01
assignment_P08_assigned,n/a
assignment_P08_experimenter,n/a
assignment_P08_notes,not part of this exported P01/T01 trial
assignment_P08_participant,P08
assignment_P08_suggested,with_tutor
assignment_P08_trial,T01
assignment_P09_assigned,n/a
assignment_P09_experimenter,n/a
assignment_P09_notes,not part of this exported P01/T01 trial
assignment_P09_participant,P09
assignment_P09_suggested,with_tutor
assignment_P09_trial,T01
assignment_P10_assigned,n/a
assignment_P10_experimenter,n/a
assignment_P10_notes,not part of this exported P01/T01 trial
assignment_P10_participant,P10
assignment_P10_suggested,without_tutor
assignment_P10_trial,T01
assignment_P11_assigned,n/a
assignment_P11_experimenter,n/a
assignment_P11_notes,not part of this exported P01/T01 trial
assignment_P11_participant,P11
assignment_P11_suggested,without_tutor
assignment_P11_trial,T01
assignment_P12_assigned,n/a
assignment_P12_experimenter,n/a
assignment_P12_notes,not part of this exported P01/T01 trial
assignment_P12_participant,P12
assignment_P12_suggested,with_tutor
assignment_P12_trial,T01
aviation_english_familiarity,1
baseline_checklist_format,VR kneeboard
baseline_checklist_no_hmd_removal,yes
baseline_checklist_used,yes
checklist_pages,DCS FA-18C Early Access Guide CN pp.93-98 on VR kneeboard
cold_start_experience,none
completed,no
condition,without_tutor
condition_specific_notes,"Passive without_tutor run: 0 help requests, 0 LLM triggers, 0 VLM calls, 0 overlays. Telemetry-only coding was used; visual-only S18 could not be scored from telemetry alone."
confidence_before,3.5
date,2026-05-28
dcs_aircraft,FA-18C_hornet
dcs_experience,none
dcs_mission,FA-18C airfield cold-start trial; exact .miz name not recorded in telemetry
dominant_hand,right
end_reason,experimenter_stop
end_time,22:23:40Z
experimenter_id,E01
experimenter_intervention,technical only
fa18c_experience,none
flight_sim_experience,none
git_commit,d624df1
git_dirty,yes; paper/*.tex and paper/references.bib modified at review time
help_hotkey,disabled/not used in without_tutor passive run
hotas_experience,none
launcher_used,no; manual/passive live-dcs command inferred from exported log
manual_coding_required,yes
model_endpoint,"n/a; without_tutor passive run, no model calls"
monitor_setup,fa18c_composite_panel_v2
multi_target_overlay_visible,not applicable
notable_request_ids,n/a; help_requests=0
obs_1_notes,Raw fire-test completion timing is treated as unreliable for order scoring; S02 OR was changed from 1 to 0.
obs_1_observation,Fire-test A/B completion order was not coded as an error after manual review.
obs_1_participant_behavior,Participant eventually completed both fire-test positions; observer/user feedback indicates the perceived order was correct.
obs_1_request_id,n/a
obs_1_severity,medium
obs_1_step_phase,S02 fire test
obs_1_system_behavior,Passive logging only; no tutor intervention or overlay.
obs_1_time,21:54:05Z-21:56:37Z
obs_2_notes,"Coded OM=1, OR=1, SV=1."
