ParticipantID,Condition,TrialID,EventIndex,Timestamp,TWall,Source,RawKey,RawValueBefore,RawValueAfter,Delta,MappedTarget,CandidateStepID,ActiveStepID,FusedStepID,ExpectedForStep,BeforeHelpCycleID,AfterHelpCycleID,NearestHelpCycleID,SecondsSinceLastHelp,StepCompletedByThisEvent,GateViolationCandidate,AutoCodingHint
P04,with_tutor,T01,1,2026-05-29T22:57:45.684054+00:00,1780095465.6690307,dcs_bios_raw,APU_CONTROL_SW,,0,0,apu_switch,S03,,S01,,30b4b140-53d5-478d-a690-231cc07db2e2,,30b4b140-53d5-478d-a690-231cc07db2e2,,no,no,
P04,with_tutor,T01,1,2026-05-29T22:57:45.684054+00:00,1780095465.6690307,dcs_bios_raw,ENGINE_CRANK_SW,,1,1,eng_crank_switch,S04;S10,,S01,,30b4b140-53d5-478d-a690-231cc07db2e2,,30b4b140-53d5-478d-a690-231cc07db2e2,,no,no,
P04,with_tutor,T01,1,2026-05-29T22:57:45.684054+00:00,1780095465.6690307,dcs_bios_raw,BATTERY_SW,,1,1,battery_switch,S01,,S01,,30b4b140-53d5-478d-a690-231cc07db2e2,,30b4b140-53d5-478d-a690-231cc07db2e2,,no,no,
P04,with_tutor,T01,1,2026-05-29T22:57:45.684054+00:00,1780095465.6690307,dcs_bios_raw,L_GEN_SW,,1,1,generator_left_switch,S01,,S01,,30b4b140-53d5-478d-a690-231cc07db2e2,,30b4b140-53d5-478d-a690-231cc07db2e2,,no,no,
P04,with_tutor,T01,1,2026-05-29T22:57:45.684054+00:00,1780095465.6690307,dcs_bios_raw,R_GEN_SW,,1,1,generator_right_switch,S01,,S01,,30b4b140-53d5-478d-a690-231cc07db2e2,,30b4b140-53d5-478d-a690-231cc07db2e2,,no,no,
P04,with_tutor,T01,1,2026-05-29T22:57:45.684054+00:00,1780095465.6690307,dcs_bios_raw,BLEED_AIR_KNOB,,2,2,bleed_air_knob,S06,,S01,,30b4b140-53d5-478d-a690-231cc07db2e2,,30b4b140-53d5-478d-a690-231cc07db2e2,,no,no,
P04,with_tutor,T01,2,2026-05-29T22:57:45.704591+00:00,1780095465.7025898,dcs_bios_raw,INT_THROTTLE_LEFT,,6081,6081,throttle_quadrant_reference,,,S01,,30b4b140-53d5-478d-a690-231cc07db2e2,,30b4b140-53d5-478d-a690-231cc07db2e2,,no,no,mapped_target_without_candidate_step
P04,with_tutor,T01,2,2026-05-29T22:57:45.704591+00:00,1780095465.7025898,dcs_bios_raw,INT_THROTTLE_RIGHT,,6081,6081,throttle_quadrant_reference,,,S01,,30b4b140-53d5-478d-a690-231cc07db2e2,,30b4b140-53d5-478d-a690-231cc07db2e2,,no,no,mapped_target_without_candidate_step
P04,with_tutor,T01,3,2026-05-29T22:57:45.738140+00:00,1780095465.7351406,dcs_bios_raw,INT_THROTTLE_LEFT,6081,5609,-472,throttle_quadrant_reference,,,S01,,30b4b140-53d5-478d-a690-231cc07db2e2,,30b4b140-53d5-478d-a690-231cc07db2e2,,no,no,mapped_target_without_candidate_step
P04,with_tutor,T01,3,2026-05-29T22:57:45.738140+00:00,1780095465.7351406,dcs_bios_raw,INT_THROTTLE_RIGHT,6081,5609,-472,throttle_quadrant_reference,,,S01,,30b4b140-53d5-478d-a690-231cc07db2e2,,30b4b140-53d5-478d-a690-231cc07db2e2,,no,no,mapped_target_without_candidate_step
P04,with_tutor,T01,3,2026-05-29T22:57:45.738140+00:00,1780095465.7351406,dcs_bios_raw,PRESSURE_ALT,,37,37,,,,S01,,30b4b140-53d5-478d-a690-231cc07db2e2,,30b4b140-53d5-478d-a690-231cc07db2e2,,no,no,unmapped_raw_key
P04,with_tutor,T01,4,2026-05-29T22:57:45.772194+00:00,1780095465.7686877,dcs_bios_raw,INT_THROTTLE_LEFT,5609,5216,-393,throttle_quadrant_reference,,,S01,,30b4b140-53d5-478d-a690-231cc07db2e2,,30b4b140-53d5-478d-a690-231cc07db2e2,,no,no,mapped_target_without_candidate_step
P04,with_tutor,T01,4,2026-05-29T22:57:45.772194+00:00,1780095465.7686877,dcs_bios_raw,INT_THROTTLE_RIGHT,5609,5216,-393,throttle_quadrant_reference,,,S01,,30b4b140-53d5-478d-a690-231cc07db2e2,,30b4b140-53d5-478d-a690-231cc07db2e2,,no,no,mapped_target_without_candidate_step
P04,with_tutor,T01,4,2026-05-29T22:57:45.772194+00:00,1780095465.7686877,dcs_bios_raw,VSI,,32766,32766,,,,S01,,30b4b140-53d5-478d-a690-231cc07db2e2,,30b4b140-53d5-478d-a690-231cc07db2e2,,no,no,unmapped_raw_key
P04,with_tutor,T01,4,2026-05-29T22:57:45.772194+00:00,1780095465.7686877,dcs_bios_raw,PRESSURE_ALT,37,67,30,,,,S01,,30b4b140-53d5-478d-a690-231cc07db2e2,,30b4b140-53d5-478d-a690-231cc07db2e2,,no,no,unmapped_raw_key
P04,with_tutor,T01,5,2026-05-29T22:57:45.804236+00:00,1780095465.8022277,dcs_bios_raw,INT_THROTTLE_LEFT,5216,4744,-472,throttle_quadrant_reference,,,S01,,30b4b140-53d5-478d-a690-231cc07db2e2,,30b4b140-53d5-478d-a690-231cc07db2e2,,no,no,mapped_target_without_candidate_step
P04,with_tutor,T01,5,2026-05-29T22:57:45.804236+00:00,1780095465.8022277,dcs_bios_raw,INT_THROTTLE_RIGHT,5216,4744,-472,throttle_quadrant_reference,,,S01,,30b4b140-53d5-478d-a690-231cc07db2e2,,30b4b140-53d5-478d-a690-231cc07db2e2,,no,no,mapped_target_without_candidate_step
P04,with_tutor,T01,5,2026-05-29T22:57:45.804236+00:00,1780095465.8022277,dcs_bios_raw,VSI,32766,32764,-2,,,,S01,,30b4b140-53d5-478d-a690-231cc07db2e2,,30b4b140-53d5-478d-a690-231cc07db2e2,,no,no,unmapped_raw_key
P04,with_tutor,T01,5,2026-05-29T22:57:45.804236+00:00,1780095465.8022277,dcs_bios_raw,PRESSURE_ALT,67,93,26,,,,S01,,30b4b140-53d5-478d-a690-231cc07db2e2,,30b4b140-53d5-478d-a690-231cc07db2e2,,no,no,unmapped_raw_key
P04,with_tutor,T01,6,2026-05-29T22:57:45.837796+00:00,1780095465.8357968,dcs_bios_raw,INT_THROTTLE_LEFT,4744,4351,-393,throttle_quadrant_reference,,,S01,,30b4b140-53d5-478d-a690-231cc07db2e2,,30b4b140-53d5-478d-a690-231cc07db2e2,,no,no,mapped_target_without_candidate_step
P04,with_tutor,T01,6,2026-05-29T22:57:45.837796+00:00,1780095465.8357968,dcs_bios_raw,INT_THROTTLE_RIGHT,4744,4351,-393,throttle_quadrant_reference,,,S01,,30b4b140-53d5-478d-a690-231cc07db2e2,,30b4b140-53d5-478d-a690-231cc07db2e2,,no,no,mapped_target_without_candidate_step
P04,with_tutor,T01,6,2026-05-29T22:57:45.837796+00:00,1780095465.8357968,dcs_bios_raw,VSI,32764,32761,-3,,,,S01,,30b4b140-53d5-478d-a690-231cc07db2e2,,30b4b140-53d5-478d-a690-231cc07db2e2,,no,no,unmapped_raw_key
P04,with_tutor,T01,6,2026-05-29T22:57:45.837796+00:00,1780095465.8357968,dcs_bios_raw,PRESSURE_ALT,93,114,21,,,,S01,,30b4b140-53d5-478d-a690-231cc07db2e2,,30b4b140-53d5-478d-a690-231cc07db2e2,,no,no,unmapped_raw_key
P04,with_tutor,T01,7,2026-05-29T22:57:45.871865+00:00,1780095465.8693535,dcs_bios_raw,INT_THROTTLE_LEFT,4351,3879,-472,throttle_quadrant_reference,,,S01,,30b4b140-53d5-478d-a690-231cc07db2e2,,30b4b140-53d5-478d-a690-231cc07db2e2,,no,no,mapped_target_without_candidate_step
P04,with_tutor,T01,7,2026-05-29T22:57:45.871865+00:00,1780095465.8693535,dcs_bios_raw,INT_THROTTLE_RIGHT,4351,3879,-472,throttle_quadrant_reference,,,S01,,30b4b140-53d5-478d-a690-231cc07db2e2,,30b4b140-53d5-478d-a690-231cc07db2e2,,no,no,mapped_target_without_candidate_step
P04,with_tutor,T01,7,2026-05-29T22:57:45.871865+00:00,1780095465.8693535,dcs_bios_raw,VSI,32761,32757,-4,,,,S01,,30b4b140-53d5-478d-a690-231cc07db2e2,,30b4b140-53d5-478d-a690-231cc07db2e2,,no,no,unmapped_raw_key
P04,with_tutor,T01,7,2026-05-29T22:57:45.871865+00:00,1780095465.8693535,dcs_bios_raw,PRESSURE_ALT,114,132,18,,,,S01,,30b4b140-53d5-478d-a690-231cc07db2e2,,30b4b140-53d5-478d-a690-231cc07db2e2,,no,no,unmapped_raw_key
P04,with_tutor,T01,8,2026-05-29T22:57:45.906915+00:00,1780095465.903908,dcs_bios_raw,INT_THROTTLE_LEFT,3879,3407,-472,throttle_quadrant_reference,,,S01,,30b4b140-53d5-478d-a690-231cc07db2e2,,30b4b140-53d5-478d-a690-231cc07db2e2,,no,no,mapped_target_without_candidate_step
P04,with_tutor,T01,8,2026-05-29T22:57:45.906915+00:00,1780095465.903908,dcs_bios_raw,INT_THROTTLE_RIGHT,3879,3407,-472,throttle_quadrant_reference,,,S01,,30b4b140-53d5-478d-a690-231cc07db2e2,,30b4b140-53d5-478d-a690-231cc07db2e2,,no,no,mapped_target_without_candidate_step
P04,with_tutor,T01,8,2026-05-29T22:57:45.906915+00:00,1780095465.903908,dcs_bios_raw,VSI,32757,32753,-4,,,,S01,,30b4b140-53d5-478d-a690-231cc07db2e2,,30b4b140-53d5-478d-a690-231cc07db2e2,,no,no,unmapped_raw_key
P04,with_tutor,T01,8,2026-05-29T22:57:45.906915+00:00,1780095465.903908,dcs_bios_raw,PRESSURE_ALT,132,148,16,,,,S01,,30b4b140-53d5-478d-a690-231cc07db2e2,,30b4b140-53d5-478d-a690-231cc07db2e2,,no,no,unmapped_raw_key
P04,with_tutor,T01,9,2026-05-29T22:57:45.946973+00:00,1780095465.9439673,dcs_bios_raw,INT_THROTTLE_LEFT,3407,3014,-393,throttle_quadrant_reference,,,S01,,30b4b140-53d5-478d-a690-231cc07db2e2,,30b4b140-53d5-478d-a690-231cc07db2e2,,no,no,mapped_target_without_candidate_step
P04,with_tutor,T01,9,2026-05-29T22:57:45.946973+00:00,1780095465.9439673,dcs_bios_raw,INT_THROTTLE_RIGHT,3407,3014,-393,throttle_quadrant_reference,,,S01,,30b4b140-53d5-478d-a690-231cc07db2e2,,30b4b140-53d5-478d-a690-231cc07db2e2,,no,no,mapped_target_without_candidate_step
P04,with_tutor,T01,9,2026-05-29T22:57:45.946973+00:00,1780095465.9439673,dcs_bios_raw,VSI,32753,32749,-4,,,,S01,,30b4b140-53d5-478d-a690-231cc07db2e2,,30b4b140-53d5-478d-a690-231cc07db2e2,,no,no,unmapped_raw_key
P04,with_tutor,T01,9,2026-05-29T22:57:45.946973+00:00,1780095465.9439673,dcs_bios_raw,PRESSURE_ALT,148,162,14,,,,S01,,30b4b140-53d5-478d-a690-231cc07db2e2,,30b4b140-53d5-478d-a690-231cc07db2e2,,no,no,unmapped_raw_key
P04,with_tutor,T01,10,2026-05-29T22:57:45.982017+00:00,1780095465.9785156,dcs_bios_raw,INT_THROTTLE_LEFT,3014,2464,-550,throttle_quadrant_reference,,,S01,,30b4b140-53d5-478d-a690-231cc07db2e2,,30b4b140-53d5-478d-a690-231cc07db2e2,,no,no,mapped_target_without_candidate_step
P04,with_tutor,T01,10,2026-05-29T22:57:45.982017+00:00,1780095465.9785156,dcs_bios_raw,INT_THROTTLE_RIGHT,3014,2464,-550,throttle_quadrant_reference,,,S01,,30b4b140-53d5-478d-a690-231cc07db2e2,,30b4b140-53d5-478d-a690-231cc07db2e2,,no,no,mapped_target_without_candidate_step
P04,with_tutor,T01,10,2026-05-29T22:57:45.982017+00:00,1780095465.9785156,dcs_bios_raw,VSI,32749,32746,-3,,,,S01,,30b4b140-53d5-478d-a690-231cc07db2e2,,30b4b140-53d5-478d-a690-231cc07db2e2,,no,no,unmapped_raw_key
P04,with_tutor,T01,10,2026-05-29T22:57:45.982017+00:00,1780095465.9785156,dcs_bios_raw,PRESSURE_ALT,162,175,13,,,,S01,,30b4b140-53d5-478d-a690-231cc07db2e2,,30b4b140-53d5-478d-a690-231cc07db2e2,,no,no,unmapped_raw_key
P04,with_tutor,T01,11,2026-05-29T22:57:46.023067+00:00,1780095466.0205579,dcs_bios_raw,INT_THROTTLE_LEFT,2464,1992,-472,throttle_quadrant_reference,,,S01,,30b4b140-53d5-478d-a690-231cc07db2e2,,30b4b140-53d5-478d-a690-231cc07db2e2,,no,no,mapped_target_without_candidate_step
P04,with_tutor,T01,11,2026-05-29T22:57:46.023067+00:00,1780095466.0205579,dcs_bios_raw,INT_THROTTLE_RIGHT,2464,1992,-472,throttle_quadrant_reference,,,S01,,30b4b140-53d5-478d-a690-231cc07db2e2,,30b4b140-53d5-478d-a690-231cc07db2e2,,no,no,mapped_target_without_candidate_step
P04,with_tutor,T01,11,2026-05-29T22:57:46.023067+00:00,1780095466.0205579,dcs_bios_raw,PRESSURE_ALT,175,186,11,,,,S01,,30b4b140-53d5-478d-a690-231cc07db2e2,,30b4b140-53d5-478d-a690-231cc07db2e2,,no,no,unmapped_raw_key
P04,with_tutor,T01,12,2026-05-29T22:57:46.058621+00:00,1780095466.0566232,dcs_bios_raw,INT_THROTTLE_LEFT,1992,1441,-551,throttle_quadrant_reference,,,S01,,30b4b140-53d5-478d-a690-231cc07db2e2,,30b4b140-53d5-478d-a690-231cc07db2e2,,no,no,mapped_target_without_candidate_step
P04,with_tutor,T01,12,2026-05-29T22:57:46.058621+00:00,1780095466.0566232,dcs_bios_raw,INT_THROTTLE_RIGHT,1992,1441,-551,throttle_quadrant_reference,,,S01,,30b4b140-53d5-478d-a690-231cc07db2e2,,30b4b140-53d5-478d-a690-231cc07db2e2,,no,no,mapped_target_without_candidate_step
P04,with_tutor,T01,12,2026-05-29T22:57:46.058621+00:00,1780095466.0566232,dcs_bios_raw,VSI,32746,32749,3,,,,S01,,30b4b140-53d5-478d-a690-231cc07db2e2,,30b4b140-53d5-478d-a690-231cc07db2e2,,no,no,unmapped_raw_key
P04,with_tutor,T01,12,2026-05-29T22:57:46.058621+00:00,1780095466.0566232,dcs_bios_raw,PRESSURE_ALT,186,195,9,,,,S01,,30b4b140-53d5-478d-a690-231cc07db2e2,,30b4b140-53d5-478d-a690-231cc07db2e2,,no,no,unmapped_raw_key
P04,with_tutor,T01,13,2026-05-29T22:57:46.096654+00:00,1780095466.0936592,dcs_bios_raw,INT_THROTTLE_LEFT,1441,969,-472,throttle_quadrant_reference,,,S01,,30b4b140-53d5-478d-a690-231cc07db2e2,,30b4b140-53d5-478d-a690-231cc07db2e2,,no,no,mapped_target_without_candidate_step
P04,with_tutor,T01,13,2026-05-29T22:57:46.096654+00:00,1780095466.0936592,dcs_bios_raw,INT_THROTTLE_RIGHT,1441,969,-472,throttle_quadrant_reference,,,S01,,30b4b140-53d5-478d-a690-231cc07db2e2,,30b4b140-53d5-478d-a690-231cc07db2e2,,no,no,mapped_target_without_candidate_step
P04,with_tutor,T01,13,2026-05-29T22:57:46.096654+00:00,1780095466.0936592,dcs_bios_raw,VSI,32749,32753,4,,,,S01,,30b4b140-53d5-478d-a690-231cc07db2e2,,30b4b140-53d5-478d-a690-231cc07db2e2,,no,no,unmapped_raw_key
