cycle_index,help_cycle_id,trigger_wall_s,generation_mode,vision_used,vision_status,vision_fact_status,vlm_call_status,vision_fallback_reason,sync_delta_ms,frame_ids,layout_id,fused_step_id,fused_missing_conditions,model_next_step_id,overlay_targets,overlay_executed,overlay_rejected,overlay_dropped,overlay_dry_run_count,response_status,fallback_overlay_used,fallback_overlay_reason,response_mapping_failure_codes,observability_status,requires_visual_confirmation,scenario_profile
0,30b4b140-53d5-478d-a690-231cc07db2e2,1780095468.9506445,model,True,partial,vision_not_required,not_required,,96,1780095468274_000000,fa18c_composite_panel_v2,S01,vars.battery_on==true,S01,battery_switch,1,0,0,0,ok,True,model,,observable,False,airfield
1,403a0c23-5b70-4162-b20d-6a6af6dd6a01,1780095483.9591718,model,True,partial,vision_not_required,not_required,,82,1780095483534_000001,fa18c_composite_panel_v2,S03,vars.apu_start_support_complete==true,S03,apu_switch,1,0,0,0,ok,False,not_needed,,observable,False,airfield
2,c84bafd5-84c3-4800-b78e-bb881064f8f1,1780095521.7217197,model,True,partial,vision_not_required,not_required,,83,1780095521277_000002,fa18c_composite_panel_v2,S06,vars.rpm_r_gte_60==true,S06,bleed_air_knob,1,0,0,0,ok,False,not_needed,,observable,False,airfield
3,7b892628-824c-44ca-a6ce-33567223bd1e,1780095532.2465568,model,True,partial,vision_not_required,not_required,,81,1780095531773_000003,fa18c_composite_panel_v2,S07,,S07,lights_test_button,1,0,0,0,ok,False,not_needed,,observable,False,airfield
4,041d787d-9cb7-4b57-be4e-e291f51352f8,1780095549.3410966,model,True,partial,available,called,,79,1780095542585_000004,fa18c_composite_panel_v2,S08,,S08,left_mdi_brightness_selector;right_mdi_brightness_selector;ampcd_off_brightness_knob;hud_symbology_brightness_knob,4,0,0,0,ok,True,state_action_planner,,observable,False,airfield
5,4216433e-c1a4-4a94-88fd-28d05e85a57e,1780095579.7294295,model,True,partial,available,called,,78,1780095572887_000005,fa18c_composite_panel_v2,S08,,S08,left_mdi_pb18,1,0,0,0,ok,True,final_evidence_consistency_validator,,observable,False,airfield
6,5d9a378b-59e1-4d2f-9eb5-bca37b6dab7a,1780095593.9629807,model,True,partial,available,called,,78,1780095587229_000006,fa18c_composite_panel_v2,S09,,S09,ufc_comm1_channel_selector_pull,1,0,0,0,ok,True,validator_action_hint,,observable,False,airfield
7,e249d452-154c-44dc-a18d-0beb3c9d6af5,1780095605.477215,model,True,partial,vision_not_required,not_required,,79,1780095604971_000007,fa18c_composite_panel_v2,S10,,S10,eng_crank_switch,1,0,0,0,ok,True,state_action_planner,,observable,False,airfield
8,dabca420-1560-45c4-8be5-d1f10ebae00e,1780095666.5417638,model,True,partial,available,called,,77,1780095659858_000008,fa18c_composite_panel_v2,S15,vars.fcs_reset_complete==true,S15,fcs_reset_button,1,0,0,0,ok,False,not_needed,,partial,True,airfield
9,ec702705-14bd-4bbd-9957-962626f650d1,1780095696.8733826,model,True,partial,vision_not_required,not_required,,78,1780095696433_000009,fa18c_composite_panel_v2,S16,vars.flap_auto==true,S16,flap_switch,1,0,0,0,ok,False,not_needed,,observable,False,airfield
10,ccdac944-c275-4f6f-b213-9328bcd482ac,1780095709.0348954,model,True,partial,vision_not_required,not_required,,86,1780095708567_000010,fa18c_composite_panel_v2,S18,,S18,right_mdi_pb5,1,0,0,0,ok,False,not_needed,,observable,False,airfield
11,73232b25-19b3-487c-b7fe-a607236a8600,1780095724.4363496,model,True,partial,available,called,,84,1780095717760_000011,fa18c_composite_panel_v2,S19,,S19,fcs_bit_switch;right_mdi_pb5,2,0,0,0,ok,False,not_needed,,partial,True,airfield
12,ebb2a355-712e-4b4e-a57a-6b487ae510b8,1780095812.2283082,model,True,partial,available,called,,79,1780095805531_000012,fa18c_composite_panel_v2,S20,,S20,refuel_probe_switch,1,0,0,0,ok,True,validator_action_hint,,observable,False,airfield
13,a47248f8-28ad-48e1-9a63-eea710fb6709,1780095831.3440824,model,True,partial,vision_not_required,not_required,,84,1780095830871_000013,fa18c_composite_panel_v2,S22,,S22,launch_bar_switch,1,0,0,0,ok,False,not_needed,,observable,False,airfield
14,9dc8dde8-a76f-4d67-9ea7-6a65975ac8a3,1780095848.9991157,model,True,partial,vision_not_required,not_required,,80,1780095848484_000014,fa18c_composite_panel_v2,S24,,S24,arresting_hook_handle,1,0,0,0,ok,False,not_needed,,observable,False,airfield
15,01ea1605-3564-45b7-a3ab-1229b784d4bb,1780095869.333981,model,True,partial,vision_not_required,not_required,,85,1780095868876_000015,fa18c_composite_panel_v2,S26,,S26,pitot_heater_switch,1,0,0,0,ok,False,not_needed,,observable,False,airfield
16,107c398b-0546-45cd-a1ca-2953f32c65c6,1780095876.724408,model,True,partial,vision_not_required,not_required,,77,1780095876208_000016,fa18c_composite_panel_v2,S28,,S28,parking_brake_handle,1,0,0,0,ok,False,not_needed,,observable,False,airfield
17,6060f391-ec27-4c37-8d64-b6df9418255b,1780095894.3460464,model,True,partial,vision_not_required,not_required,,77,1780095893889_000017,fa18c_composite_panel_v2,S29,,S29,ifei_up_button,1,0,0,0,ok,False,not_needed,,observable,False,airfield
18,aff49c66-4d6d-46aa-a3ef-bf62f75aa595,1780095903.5863614,model,True,partial,vision_not_required,not_required,,71,1780095903097_000018,fa18c_composite_panel_v2,S33,,S33,,0,0,0,0,ok,False,final_evidence_consistency_validator,,observable,False,airfield
