field,value
age_range,25-34
assignment_P01_assigned,
assignment_P01_experimenter,
assignment_P01_notes,
assignment_P01_participant,P01
assignment_P01_suggested,with_tutor
assignment_P01_trial,T01
assignment_P02_assigned,
assignment_P02_experimenter,
assignment_P02_notes,
assignment_P02_participant,P02
assignment_P02_suggested,without_tutor
assignment_P02_trial,T01
assignment_P03_assigned,
assignment_P03_experimenter,
assignment_P03_notes,
assignment_P03_participant,P03
assignment_P03_suggested,without_tutor
assignment_P03_trial,T01
assignment_P04_assigned,
assignment_P04_experimenter,
assignment_P04_notes,
assignment_P04_participant,P04
assignment_P04_suggested,with_tutor
assignment_P04_trial,T01
assignment_P05_assigned,with_tutor
assignment_P05_experimenter,
assignment_P05_notes,
assignment_P05_participant,P05
assignment_P05_suggested,with_tutor
assignment_P05_trial,T01
assignment_P06_assigned,without_tutor
assignment_P06_experimenter,
assignment_P06_notes,
assignment_P06_participant,P06
assignment_P06_suggested,without_tutor
assignment_P06_trial,T01
assignment_P07_assigned,
assignment_P07_experimenter,
assignment_P07_notes,
assignment_P07_participant,P07
assignment_P07_suggested,without_tutor
assignment_P07_trial,T01
assignment_P08_assigned,
assignment_P08_experimenter,
assignment_P08_notes,
assignment_P08_participant,P08
assignment_P08_suggested,with_tutor
assignment_P08_trial,T01
assignment_P09_assigned,
assignment_P09_experimenter,
assignment_P09_notes,
assignment_P09_participant,P09
assignment_P09_suggested,with_tutor
assignment_P09_trial,T01
assignment_P10_assigned,
assignment_P10_experimenter,
assignment_P10_notes,
assignment_P10_participant,P10
assignment_P10_suggested,without_tutor
assignment_P10_trial,T01
assignment_P11_assigned,
assignment_P11_experimenter,
assignment_P11_notes,
assignment_P11_participant,P11
assignment_P11_suggested,without_tutor
assignment_P11_trial,T01
assignment_P12_assigned,
assignment_P12_experimenter,
assignment_P12_notes,
assignment_P12_participant,P12
assignment_P12_suggested,with_tutor
assignment_P12_trial,T01
aviation_english_familiarity,7
baseline_checklist_format,VR kneeboard plus tutor overlay/help
baseline_checklist_no_hmd_removal,yes
baseline_checklist_used,yes
checklist_pages,DCS FA-18C Early Access Guide CN pp.93-98 on VR kneeboard; tutor help available via X1
cold_start_experience,can complete
completed,是的
condition,with_tutor
condition_specific_notes,"With-tutor run completed end-to-end. Telemetry/log summary: HelpRequests=7, LLMTriggers=7, VLMCalls=2, OverlayExecuted=6, OverlayRejected=0, FallbackCount=2, TotalStepsCompleted=33/33. Main residual issues: one unintended VLM call on S20, and system-induced repeated four-down guidance after probe/launch-bar/hook had already completed once."
confidence_before,7
date,2026-05-30
dcs_aircraft,FA-18C_hornet
dcs_experience,frequent
dcs_mission,
dominant_hand,right
end_reason,完全的
end_time,00:15:06Z
experimenter_id,E01
experimenter_intervention,没有任何
fa18c_experience,experienced
flight_sim_experience,frequent
git_commit,
git_dirty,not recorded
help_hotkey,X1
hotas_experience,frequent
launcher_used,not recorded; live-dcs run inferred from exported log
manual_coding_required,yes
model_endpoint,openai_compat remote endpoint; exact URL not exported
monitor_setup,fa18c_composite_panel_v2
multi_target_overlay_visible,not directly evaluated in this run; final exported overlays were single-target
notable_request_ids,1219a648-c997-4ad8-9789-d03252958656; fb7e291a-e83b-443a-8217-bf9ca0fcd2e5; 0f04cbe0-8449-4f33-8acb-026e5f0d4f31; 60f1e81a-7660-400e-b477-106f0e71e336; 5a65e1f9-2fa4-4e41-ba86-a628d6e2884d
obs_1_notes,Positive evidence for the visual harness path; no user error coded.
obs_1_observation,Tutor/VLM correctly detected TAC page and BIT root anchors and guided left DDI PB18 for S08 page recovery.
obs_1_participant_behavior,Participant followed the display/page guidance and proceeded through COMM entry.
obs_1_request_id,1219a648-c997-4ad8-9789-d03252958656
obs_1_severity,info
obs_1_step_phase,S08 / P3
obs_1_system_behavior,VLM call was expected for S08; overlay target left_mdi_pb18 was issued.
