ParticipantID,Condition,TrialID,StepID,StepTitle,Phase,Critical,Performed,Completed,FirstHelpTime_sec,HelpCount,FirstOverlayTargets,LastOverlayTargets,FirstFusedStepID,LastFusedStepID,EvidenceRefs,Auto_Error_OM,Auto_Error_CO,Auto_Error_OR,Auto_Error_PA,Auto_Error_SV,AutoConfidence,AutoEvidenceRefs,NeedsHumanReview,Error_OM,Error_CO,Error_OR,Error_PA,Error_SV,CoderID,CoderNotes,AutoCodingNotes
P05,with_tutor,T01,S01,BATTERY switch ON. Left/Right GEN switches in NORM/ON.,P1,yes,yes,yes,,0,,,,,terminal_s33:5a65e1f9-2fa4-4e41-ba86-a628d6e2884d,0,0,0,0,0,,,no,0,0,0,0,0,CodexTelemetryReview,Battery and generator power-up were satisfied by the final telemetry state; no error coded. Ignored startup-frame initial values as state noise.,human_error_columns_blank;completed_inferred_from_terminal_s33
P05,with_tutor,T01,S02,Fire test A completed with correct aural/visual indications. Fire test B completed after ~10s pause.,P1,yes,yes,yes,,0,,,,,terminal_s33:5a65e1f9-2fa4-4e41-ba86-a628d6e2884d,0,0,0,0,0,,,no,0,0,0,0,0,CodexTelemetryReview,"Both fire-test sides were completed. Following manual review policy, raw fire-test completion timing is not used for A/B order scoring; no OM/OR coded.",human_error_columns_blank;completed_inferred_from_terminal_s33
P05,with_tutor,T01,S03,APU switch ON. APU READY light illuminated.,P1,yes,yes,yes,,0,,,,,terminal_s33:5a65e1f9-2fa4-4e41-ba86-a628d6e2884d,0,0,0,0,0,,,no,0,0,0,0,0,CodexTelemetryReview,APU start support completed and APU-ready evidence was observed; no error coded.,human_error_columns_blank;completed_inferred_from_terminal_s33
P05,with_tutor,T01,S04,ENG CRANK switch set to RIGHT; right engine spool-up observed.,P2,yes,yes,yes,,0,,,,,terminal_s33:5a65e1f9-2fa4-4e41-ba86-a628d6e2884d,0,0,1,0,1,medium,action:1:precondition_gate:s04_requires_apu_start_support_complete;action:1:out_of_order_before:S03,yes,0,0,0,0,0,CodexTelemetryReview,Right engine crank completion was observed after APU-ready evidence. Ignored first-frame/crank-switch artifacts and transient completion toggles.,human_error_columns_blank;completed_inferred_from_terminal_s33
P05,with_tutor,T01,S05,Right throttle at IDLE. Throttle moved when RPM >=25%.,P2,yes,yes,yes,,0,,,,,terminal_s33:5a65e1f9-2fa4-4e41-ba86-a628d6e2884d,0,0,0,0,0,,,no,0,0,0,0,0,CodexTelemetryReview,Right throttle idle completion was observed after right RPM crossed 25%; no error coded.,human_error_columns_blank;completed_inferred_from_terminal_s33
P05,with_tutor,T01,S06,BLEED AIR knob rotated full clockwise back to NORM.,P2,no,yes,yes,,0,,,,,terminal_s33:5a65e1f9-2fa4-4e41-ba86-a628d6e2884d,0,0,0,0,0,,,no,0,0,0,0,0,CodexTelemetryReview,Bleed-air cycle completed after right RPM reached >=60%; no error coded.,human_error_columns_blank;completed_inferred_from_terminal_s33
P05,with_tutor,T01,S07,Light test executed with all annunciators verified.,P2,no,yes,yes,,0,,,,,terminal_s33:5a65e1f9-2fa4-4e41-ba86-a628d6e2884d,0,0,0,0,0,,,no,0,0,0,0,0,CodexTelemetryReview,Lights test completion evidence was observed; no error coded.,human_error_columns_blank;completed_inferred_from_terminal_s33
P05,with_tutor,T01,S08,Left DDI shows FCS page; right DDI shows BIT page. MPCD and HUD powered.,P3,no,yes,yes,1780186304.9984584,1,left_mdi_pb18,left_mdi_pb18,S08,S08,help_cycle:1219a648-c997-4ad8-9789-d03252958656;frames:1780186297925_000000;terminal_s33:5a65e1f9-2fa4-4e41-ba86-a628d6e2884d,0,1,0,0,0,medium,action:2:unexpected_for_active_step;action:2:unmapped_raw_key;action:3:unexpected_for_active_step;action:3:unmapped_raw_key;action:4:unexpected_for_active_step;action:4:unmapped_raw_key;action:5:unexpected_for_active_step;action:5:unmapped_raw_key;action:6:unexpected_for_active_step;action:6:unmapped_raw_key;action:7:unexpected_for_active_step;action:7:unmapped_raw_key;action:8:unexpected_for_active_step;action:8:unmapped_raw_key;action:9:unexpected_for_active_step;action:9:unmapped_raw_key;action:10:unexpected_for_active_step;action:10:unmapped_raw_key;action:11:unexpected_for_active_step;action:11:unmapped_raw_key;action:12:unexpected_for_active_step;action:12:unmapped_raw_key;action:13:unexpected_for_active_step;action:13:unmapped_raw_key;action:14:unexpected_for_active_step;action:14:unmapped_raw_key;action:15:unexpected_for_active_step;action:15:unmapped_raw_key;action:16:unexpected_for_active_step;action:16:unmapped_raw_key;action:17:unmapped_raw_key;action:18:unmapped_raw_key;action:19:unmapped_raw_key;action:20:unmapped_raw_key;action:21:unmapped_raw_key;action:22:unmapped_raw_key;action:23:unmapped_raw_key;action:24:unmapped_raw_key;action:25:unmapped_raw_key;action:26:unmapped_raw_key;action:27:unmapped_raw_key;action:28:unmapped_raw_key;action:29:unmapped_raw_key;action:30:unmapped_raw_key;action:31:unmapped_raw_key;action:32:unmapped_raw_key;action:33:unmapped_raw_key;action:34:unmapped_raw_key;action:35:unmapped_raw_key;action:36:unmapped_raw_key;action:41:unmapped_raw_key;action:42:unmapped_raw_key;action:43:unmapped_raw_key;action:44:unmapped_raw_key;action:45:unmapped_raw_key;action:46:unmapped_raw_key;action:47:unmapped_raw_key;action:48:unmapped_raw_key;action:49:unmapped_raw_key;action:50:unmapped_raw_key;action:51:unmapped_raw_key;action:52:unmapped_raw_key;action:55:unmapped_raw_key;action:59:unmapped_raw_key;action:62:unmapped_raw_key;action:65:unmapped_raw_key;action:67:unmapped_raw_key;action:72:unmapped_raw_key;action:75:unmapped_raw_key;action:82:unmapped_raw_key;action:89:unmapped_raw_key;action:94:unmapped_raw_key;action:1654:unexpected_for_active_step;action:1655:unexpected_for_active_step;action:1656:unexpected_for_active_step;action:1657:unexpected_for_active_step;action:1658:unexpected_for_active_step;action:1659:unexpected_for_active_step;action:1660:unexpected_for_active_step;action:1661:unexpected_for_active_step;action:1662:unexpected_for_active_step;action:1663:unexpected_for_active_step;action:1664:unexpected_for_active_step;action:1665:unexpected_for_active_step;action:1666:unexpected_for_active_step;action:1667:unexpected_for_active_step;action:1668:unexpected_for_active_step;action:1669:unexpected_for_active_step;action:2097:unmapped_raw_key;action:2149:unmapped_raw_key;action:2153:unexpected_for_active_step;action:2186:unmapped_raw_key;action:2209:unmapped_raw_key;action:2528:unmapped_raw_key;action:3375:unexpected_for_active_step;action:3376:unexpected_for_active_step;action:3377:unexpected_for_active_step;action:3378:unexpected_for_active_step;action:3379:unexpected_for_active_step;action:3380:unexpected_for_active_step;action:3381:unexpected_for_active_step;action:3382:unexpected_for_active_step;action:3383:unexpected_for_active_step;action:3384:unexpected_for_active_step;action:3385:unexpected_for_active_step;action:3386:unexpected_for_active_step;action:3387:unexpected_for_active_step;action:3388:unexpected_for_active_step;action:3389:unexpected_for_active_step;action:3390:unexpected_for_active_step;action:3818:unmapped_raw_key;action:3867:unmapped_raw_key;action:3899:unmapped_raw_key;action:3922:unmapped_raw_key,yes,0,0,0,0,0,CodexTelemetryReview,Tutor/VLM correctly identified the left DDI TAC page and guided left DDI PB18 toward SUPT/FCS; display power and page progression completed. Auto CO flags are startup/unmapped telemetry noise.,human_error_columns_blank;completed_inferred_from_terminal_s33
P05,with_tutor,T01,S09,COMM1 preset 1 frequency programmed to 134.000 MHz.,P3,no,yes,yes,,0,,,,,terminal_s33:5a65e1f9-2fa4-4e41-ba86-a628d6e2884d,0,0,1,0,1,medium,action:2153:precondition_gate:s09_requires_left_ddi_on;action:2153:out_of_order_before:S08,yes,0,0,0,0,0,CodexTelemetryReview,COMM1 pull and UFC 1-3-4-0-0-0/ENT sequence were observed and comm1_freq_134_000 became true. Ignored auto OR/SV from earlier channel/selector telemetry before the real frequency entry.,human_error_columns_blank;completed_inferred_from_terminal_s33
P05,with_tutor,T01,S10,ENG CRANK switch set to LEFT; left engine spool-up observed.,P4,yes,yes,yes,,0,,,,,terminal_s33:5a65e1f9-2fa4-4e41-ba86-a628d6e2884d,0,0,0,0,1,medium,action:1:precondition_gate:s10_requires_right_engine_nominal_start_params;action:1219:precondition_gate:s10_requires_right_engine_nominal_start_params;action:1221:precondition_gate:s10_requires_right_engine_nominal_start_params;action:1258:precondition_gate:s10_requires_right_engine_nominal_start_params;action:2155:precondition_gate:s10_requires_right_engine_nominal_start_params,yes,0,0,0,0,0,CodexTelemetryReview,Left engine crank completion was observed after right engine reached >=60%; ignored initial/crank telemetry artifacts.,human_error_columns_blank;completed_inferred_from_terminal_s33
