field,value
age_range,25-34
assignment_P01_assigned,
assignment_P01_experimenter,
assignment_P01_notes,
assignment_P01_participant,P01
assignment_P01_suggested,with_tutor
assignment_P01_trial,T01
assignment_P02_assigned,
assignment_P02_experimenter,
assignment_P02_notes,
assignment_P02_participant,P02
assignment_P02_suggested,without_tutor
assignment_P02_trial,T01
assignment_P03_assigned,
assignment_P03_experimenter,
assignment_P03_notes,
assignment_P03_participant,P03
assignment_P03_suggested,without_tutor
assignment_P03_trial,T01
assignment_P04_assigned,
assignment_P04_experimenter,
assignment_P04_notes,
assignment_P04_participant,P04
assignment_P04_suggested,with_tutor
assignment_P04_trial,T01
assignment_P05_assigned,
assignment_P05_experimenter,
assignment_P05_notes,
assignment_P05_participant,P05
assignment_P05_suggested,with_tutor
assignment_P05_trial,T01
assignment_P06_assigned,
assignment_P06_experimenter,
assignment_P06_notes,
assignment_P06_participant,P06
assignment_P06_suggested,without_tutor
assignment_P06_trial,T01
assignment_P07_assigned,without_tutor
assignment_P07_experimenter,
assignment_P07_notes,
assignment_P07_participant,P07
assignment_P07_suggested,without_tutor
assignment_P07_trial,T01
assignment_P08_assigned,
assignment_P08_experimenter,
assignment_P08_notes,
assignment_P08_participant,P08
assignment_P08_suggested,with_tutor
assignment_P08_trial,T01
assignment_P09_assigned,
assignment_P09_experimenter,
assignment_P09_notes,
assignment_P09_participant,P09
assignment_P09_suggested,with_tutor
assignment_P09_trial,T01
assignment_P10_assigned,
assignment_P10_experimenter,
assignment_P10_notes,
assignment_P10_participant,P10
assignment_P10_suggested,without_tutor
assignment_P10_trial,T01
assignment_P11_assigned,
assignment_P11_experimenter,
assignment_P11_notes,
assignment_P11_participant,P11
assignment_P11_suggested,without_tutor
assignment_P11_trial,T01
assignment_P12_assigned,
assignment_P12_experimenter,
assignment_P12_notes,
assignment_P12_participant,P12
assignment_P12_suggested,with_tutor
assignment_P12_trial,T01
aviation_english_familiarity,4
baseline_checklist_format,VR kneeboard/static checklist
baseline_checklist_no_hmd_removal,yes
baseline_checklist_used,yes
checklist_pages,
cold_start_experience,tried before
completed,不
condition,without_tutor
condition_specific_notes,"Passive without_tutor run: 0 help requests, 0 LLM triggers, 0 VLM calls, 0 overlays. Telemetry-only coding was used. Auto export reports 19/33 total steps completed and 16 critical steps completed. Manual review treats Fire Test A/B latch timing as unreliable because fire_test_complete=true despite inconsistent A/B flags; S18/S19 control actions are accepted from telemetry but visual FCS-MC/GO cannot be confirmed in passive mode."
confidence_before,5
date,2026-05-29
dcs_aircraft,FA-18C_hornet
dcs_experience,occasional
dcs_mission,FA-18C cold-start airfield scenario
dominant_hand,right
end_reason,Trial ended before full cold-start checklist completion.
end_time,2026-05-31T23:27:32Z
experimenter_id,Yu Zhang
experimenter_intervention,
fa18c_experience,tried before
flight_sim_experience,occasional
git_commit,d624df1
git_dirty,not checked during coding
help_hotkey,X1
hotas_experience,very little
launcher_used,manual CLI live-dcs passive logging
manual_coding_required,yes
model_endpoint,"n/a; without_tutor passive run, no help/model calls"
monitor_setup,fa18c_composite_panel_v2
multi_target_overlay_visible,n/a
notable_request_ids,"n/a; without_tutor passive run, no help request IDs"
obs_1_notes,Coded S09 OM=1 only; no OR/SV from raw channel state.
obs_1_observation,Final comm1_freq_134_000=false and no UFC 1-3-4-0-0-0/ENT sequence was recorded.
obs_1_participant_behavior,COMM1 134.000 entry was not completed; only a channel/numeric state was observed.
obs_1_request_id,n/a
obs_1_severity,medium
obs_1_step_phase,S09
obs_1_system_behavior,No tutor active in without_tutor condition.
obs_1_time,23:24:50Z
obs_2_notes,Coded S12 OM=1 and S13 OM=1.
obs_2_observation,Final ins_fast_align_complete=false and radar_mode_opr=false.
obs_2_participant_behavior,"INS knob reached an accepted CV/GND state, but AMPCD PB19 fast-align and radar OPR were omitted."
obs_2_request_id,n/a
obs_2_severity,medium
